"id","question_id","option_text"
"496c760f-2705-4910-83e6-dcd4974d4e34","7f44af94-fa91-40a9-9e83-49cd6669a888","High school"
"3d1ed82e-101b-4f11-84ea-ca52c8bd0ee6","876982bd-24dd-4334-af16-eb07149222c9","Education"
"ed5deb73-2c25-4a7f-8611-f27d8fd61ec7","e09c6d62-ddb9-4502-9b15-1716d96b37dd","Tests/Quizzes"
"846021e8-184c-4d1e-86c1-a647c192ac36","876982bd-24dd-4334-af16-eb07149222c9","Personal and Professional Development"
"7c0bb2ae-d5f9-48dd-8a2e-aa613ee5f611","c80228cc-1e08-43e7-8c37-ebc099604f34","Learn through videos and images."
"804c67cf-994c-49c6-8f1f-f32a936c8fd2","876982bd-24dd-4334-af16-eb07149222c9","Business and Finance"
"527f1bf9-3461-4d96-8f34-f27b20b28f67","e09c6d62-ddb9-4502-9b15-1716d96b37dd","Podcasts"
"eb6d95a5-1bfd-43d3-8f7f-e7f2d85f7157","e09c6d62-ddb9-4502-9b15-1716d96b37dd","Video lectures"
"f85a0f2a-ad33-4545-91d7-3af2f8c8a574","7f44af94-fa91-40a9-9e83-49cd6669a888","Master"
"6b81b8fa-e2f9-4d95-9797-d7973245d56b","876982bd-24dd-4334-af16-eb07149222c9","Language and Communication"
"24bb76c8-ad53-4d69-9c2a-79811069b33a","876982bd-24dd-4334-af16-eb07149222c9","Health and Medicine"
"029659ff-31b3-4a07-9c93-38d13fa79940","876982bd-24dd-4334-af16-eb07149222c9","Social Sciences and Humanities"
"36e8ba76-4412-4fe1-9f55-dff0fe8d3a6d","876982bd-24dd-4334-af16-eb07149222c9","Sports and Fitness"
"08187437-1830-4635-a170-d7c980348ae0","c80228cc-1e08-43e7-8c37-ebc099604f34","Learn through group interaction and discussion."
"fb59b6ce-c732-49f7-a1e7-829f55d81744","7f44af94-fa91-40a9-9e83-49cd6669a888","Primary school"
"e1e62671-a670-43a6-a3c3-a16111c21013","876982bd-24dd-4334-af16-eb07149222c9","None of the above"
"e841bea5-6487-4b41-a516-778874f2d75b","876982bd-24dd-4334-af16-eb07149222c9","Technology and Computer Science"
"3fe761dd-7397-41f1-acd0-7ef35b4c92cb","7f44af94-fa91-40a9-9e83-49cd6669a888","None of the above"
"f79c82b4-15fc-4893-ad70-74cfd61854b4","876982bd-24dd-4334-af16-eb07149222c9","Environmental Studies"
"e7f0856f-80b9-40e1-aed3-ce9d2e70073f","e09c6d62-ddb9-4502-9b15-1716d96b37dd","Practice exercises"
"ec8adbd4-02b5-4873-b0c4-7ce5d95d047d","7f44af94-fa91-40a9-9e83-49cd6669a888","Doctor"
"a47c9f14-e60b-4fd7-b1b2-f50f93a2cd40","7f44af94-fa91-40a9-9e83-49cd6669a888","Self-taught"
"7b4f8c53-9dd9-45ef-b32f-1668cc346891","c80228cc-1e08-43e7-8c37-ebc099604f34","Learn through live instructors."
"c76e49cd-5a57-487f-b381-c009550a2f20","876982bd-24dd-4334-af16-eb07149222c9","STEM"
"acce15fa-cc10-4060-b3f2-de2697babe6c","876982bd-24dd-4334-af16-eb07149222c9","Legal Studies"
"98bf1ab0-32ee-4fd0-bb4f-41a9f6ccb569","7f44af94-fa91-40a9-9e83-49cd6669a888","Lower secondary education"
"0e819edb-6fd3-4c4c-bbdc-b335d5c8251b","e09c6d62-ddb9-4502-9b15-1716d96b37dd","Reading materials"
"d5642c95-3542-4a33-bccb-69a460d2938f","7f44af94-fa91-40a9-9e83-49cd6669a888","Bachelor"
"440db685-1d70-46e1-bdfa-73dfb35abf5f","876982bd-24dd-4334-af16-eb07149222c9","Creative Arts and Design"
"625ba28f-c372-42f9-bf0d-6107cacc06fd","876982bd-24dd-4334-af16-eb07149222c9","Entertainment and Media"